,Id,Nick,Discount,Name,Pic.B,Pic.S,Price.M,Price.P,Price.Low,Price.Prime
0,DEAI0H-A900EZPT1-000,<font color=#FF00CC><b>每日特賣▼只有一天</font></b><BR><font color=#D90202><b>【全新防護升級】</b></font><BR> nac nac 觸控式消毒烘乾鍋 T1 特仕版(蜜桃粉),200,nac nac 觸控式消毒烘乾鍋 T1 特仕版(蜜桃粉),/items/DEAI0HA900EZPT1/000001_1675070442.jpg,/items/DEAI0HA900EZPT1/000002_1675070442.jpg,4500,2990,,
1,DEAIX7-A90097DLF-000,nac nac 紫外線消毒烘乾機 UA_0014,0,【麗嬰房】nac nac 紫外線消毒烘乾機 UA_0014,/items/DEAIX7A90097DLF/000001_1675045239.jpg,/items/DEAIX7A90097DLF/000002_1675045239.jpg,5100,3280,,
2,DECHCO-A900EZPY9-000,<font color=#FF00CC><b>每日特賣▼只有一天</font></b><BR>nac nac 觸控式消毒烘乾鍋 T1 特仕版(松石綠),200,nac nac 觸控式消毒烘乾鍋 T1 特仕版(松石綠),/items/DECHCOA900EZPY9/000001_1675070501.jpg,/items/DECHCOA900EZPY9/000002_1675070501.jpg,4500,2990,,
3,DEAIK3-A9009NMHW-000,nac nac 微電腦消毒烘乾鍋 UB0022-粉色 ★麗嬰房獨家色★,0,nac nac 微電腦消毒烘乾鍋 UB0022-粉色,/items/DEAIK3A9009NMHW/000001_1605498541.jpg,/items/DEAIK3A9009NMHW/000002_1605498541.jpg,3200,2100,,
4,DECH0N-A9008DDE3-000,《新手爸媽第一首選》</b></font><br>nac nac 微電腦消毒烘乾鍋 UB0022,0,nac nac 微電腦消毒烘乾鍋 UB0022(2017新款),/items/DECH0NA9008DDE3/000001_1642558672.jpg,/items/DECH0NA9008DDE3/000002_1642558672.jpg,3200,2100,,
5,DEDL0A-A900B5J53-000,【Combi】GEN3消毒溫食多用鍋_曜石黑,0,Combi GEN3消毒溫食多用鍋_曜石黑,/items/DEDL0AA900B5J53/000001_1669117725.jpg,/items/DEDL0AA900B5J53/000002_1669117726.jpg,6000,4280,,
6,DEDL0A-A900BUTH2-000,【Combi】GEN3消毒溫食多用鍋_寧靜藍,0,Combi GEN3消毒溫食多用鍋_寧靜藍,/items/DEDL0AA900BUTH2/000001_1667900173.jpg,/items/DEDL0AA900BUTH2/000002_1667900174.jpg,6000,4280,,
7,DEDL0A-A900B5J60-000,【Combi】GEN3消毒溫食多用鍋_赤焰紅,0,Combi GEN3消毒溫食多用鍋_赤焰紅,/items/DEDL0AA900B5J60/000001_1667441805.jpg,/items/DEDL0AA900B5J60/000002_1667441910.jpg,6000,4280,,
8,DEAIVL-A900AZSZK-000,Combi GEN3消毒溫食多用鍋 - 曜石黑,0,Combi GEN3消毒溫食多用鍋 - 曜石黑,/items/DEAIVLA900AZSZK/000001_1636943359.jpg,/items/DEAIVLA900AZSZK/000002_1636943359.jpg,6000,4480,,
9,DEAI13-A78518793-000,【奇哥】二代微電腦蒸氣消毒烘乾鍋(藍),0,【奇哥】二代微電腦蒸氣消毒烘乾鍋(藍),/items/DEAI13A78518793/000001_1626747051.jpg,/items/DEAI13A78518793/000002_1626747051.jpg,4200,2368,,
10,DEAIVL-A900B6AQT-000,Combi GEN3消毒溫食多用鍋 - 寧靜藍,0,Combi GEN3消毒溫食多用鍋 - 寧靜藍,/items/DEAIVLA900B6AQT/000001_1654160365.jpg,/items/DEAIVLA900B6AQT/000002_1654160365.jpg,6000,4480,,
11,DEAI13-A73823849-000,【奇哥】微電腦紫外線消毒烘乾機(淺藍)  ,0,【奇哥】微電腦紫外線消毒烘乾機(2色選擇),/items/DEAI13A73823849/000001_1635388660.jpg,/items/DEAI13A73823849/000002_1635388660.jpg,6500,4660,,
12,DECH0O-A9008HCIM-000,六甲村 全效型負離子紫外線殺菌烘乾機,0,六甲村全效型紫外線消毒鍋,/items/DECH0OA9008HCIM/000001_1649812958.jpg,/items/DECH0OA9008HCIM/000002_1637719599.jpg,5880,3580,,
13,DEDL0A-A900B5JA2-000,【Combi】GEN3消毒溫食多用鍋+保管箱組(多色可選),0,Combi GEN3消毒溫食多用鍋+保管箱組,/items/DEDL0AA900B5JA2/000001_1660808244.jpg,/items/DEDL0AA900B5JA2/000002_1660808244.jpg,8200,5600,,
14,DEAIX7-A900AMCIS-000,新貝樂C-more】K2高效能溫奶消毒烘乾鍋,0,【新貝樂C-more】K2高效能溫奶消毒烘乾鍋,/items/DEAIX7A900AMCIS/000001_1641780924.jpg,/items/DEAIX7A900AMCIS/000002_1641780925.jpg,3280,2480,,
15,DEAIX7-A900AZRUT-000,【新貝樂C-more】K2高效能溫奶消毒烘乾鍋 - 櫻花粉,0,【新貝樂C-more】K2高效能溫奶消毒烘乾鍋 - 櫻花粉,/items/DEAIX7A900AZRUT/000001_1615454483.jpg,/items/DEAIX7A900AZRUT/000002_1615454483.jpg,3280,2380,,
16,DEAI3U-A900BRU21-000,【PHILIPS AVENT】高效蒸氣烘乾消毒鍋(SCF293/00),0,【PHILIPS AVENT】高效蒸氣烘乾消毒鍋(SCF293/00),/items/DEAI3UA900BRU21/000001_1653889607.jpg,/items/DEAI3UA900BRU21/000002_1653889608.jpg,5980,3999,,
17,DEAIVR-A900AY72Q-000,《KUKU酷咕鴨》智慧型蒸氣烘乾消毒鍋-時尚黑(限量加贈玻璃奶瓶組),0,酷咕鴨智慧型蒸氣烘乾消毒鍋-時尚黑(限量加贈玻璃奶瓶組),/items/DEAIVRA900AY72Q/000001_1645166159.jpg,/items/DEAIVRA900AY72Q/000002_1645166159.jpg,5500,2490,,
18,QFAT4N-A900AHI3L-000,【奇哥】微電腦紫外線消毒烘乾機/消毒鍋,0,【奇哥】紫外線消毒烘乾機/消毒鍋,/items/QFAT4NA900AHI3L/000001_1580696491.jpg,/items/QFAT4NA900AHI3L/000002_1580696491.jpg,6800,4980,,
19,DEAIB7-A900AHKCS-000,【PUKU 藍色企鵝】負離子紫外線烘乾殺菌機,0,《PUKU》負離子紫外線烘乾殺菌機,/items/DEAIB7A900AHKCS/000001_1580789031.jpg,/items/DEAIB7A900AHKCS/000002_1580789032.jpg,5880,3580,,
20,DEAIWP-A900A3UPM-000,黃色小鴨《PiyoPiyo》微電腦觸控式消毒烘乾鍋  ,0,黃色小鴨《PiyoPiyo》微電腦觸控式消毒烘乾鍋,/items/DEAIWPA900A3UPM/000001_1615946824.jpg,/items/DEAIWPA900A3UPM/000002_1615946824.jpg,4590,2980,,
21,DEAIQQ-A900B19FE-000,【NUK】二合一蒸氣烘乾消毒鍋<br><font color=c90026>新機登場★超大容量</font>,0,【NUK】二合一蒸氣烘乾消毒鍋,/items/DEAIQQA900B19FE/000001_1639447942.jpg,/items/DEAIQQA900B19FE/000002_1639447942.jpg,3800,2580,,
22,DEAIX7-A900AQF2H-000,<font color=FF0000><b>★殺菌率99.99%★</b></font><BR>友情紫外線奶瓶殺菌烘乾機(適用：嬰幼兒餐具、個人器皿) PF-168,0,友情紫外線奶瓶殺菌烘乾機PF-168(殺菌率99.99%),/items/DEAIX7A900AQF2H/000001_1621584152.jpg,/items/DEAIX7A900AQF2H/000002_1621584153.jpg,4980,3580,,
23,DEAIVP-A900FEM7Y-000,【小獅王辛巴】UDI H1智能高效蒸氣烘乾消毒鍋(新品上市),0,【小獅王辛巴】UDI H1智能高效蒸氣烘乾消毒鍋,/items/DEAIVPA900FEM7Y/000001_1672212595.jpg,/items/DEAIVPA900FEM7Y/000002_1672212595.jpg,5600,3799,,
24,DEAIVP-A900FEM79-000,【毒物科醫師推薦★滿額送豪禮★最高回饋8%】</b></font><BR>【小獅王辛巴】UDI H1智能高效蒸氣烘乾消毒鍋(新品上市),0,【小獅王辛巴】UDI H1智能高效蒸氣烘乾消毒鍋,/items/DEAIVPA900FEM79/000001_1673402744.jpg,/items/DEAIVPA900FEM79/000002_1673409776.jpg,5600,3799,,
25,DEAIB7-A9008YRGQ-000,【PUKU 藍色企鵝】Royal蒸氣烘乾負離子消毒鍋,0,Royal蒸氣烘乾負離子消毒鍋,/items/DEAIB7A9008YRGQ/000001_1524478684.jpg,/items/DEAIB7A9008YRGQ/000002_1524478684.jpg,3580,2380,,
26,DEAI4O-A900988I0-000,【chicco】2合1電子蒸氣消毒鍋,0,【chicco】2合1電子蒸氣消毒鍋,/items/DEAI4OA900988I0/000001_1666782323.jpg,/items/DEAI4OA900988I0/000002_1666782323.jpg,2100,1490,,
27,DEAI13-A900AHI51-000,【奇哥】微電腦紫外線消毒烘乾機/消毒鍋,0,【奇哥】紫外線消毒烘乾機/消毒鍋,/items/DEAI13A900AHI51/000001_1580696958.jpg,/items/DEAI13A900AHI51/000002_1580696958.jpg,6800,4980,,
28,DEAIVL-A900AZSZQ-000,Combi GEN3消毒溫食多用鍋 - 金緻白,0,Combi GEN3消毒溫食多用鍋 - 金緻白,/items/DEAIVLA900AZSZQ/000001_1615645293.jpg,/items/DEAIVLA900AZSZQ/000002_1615645293.jpg,6000,4480,,
29,DEDL0A-A900B5JBM-000,Combi Pro 360高效消毒烘乾鍋+奶瓶保管箱 (三色可選),0,Combi Pro 360高效消毒烘乾鍋+奶瓶保管箱,/items/DEDL0AA900B5JBM/000001_1666601953.jpg,/items/DEDL0AA900B5JBM/000002_1666601953.jpg,5400,3690,,
30,DEAI0H-A900B8CTJ-000,nac nac 多功能紫外線消毒箱,0,nac nac 多功能紫外線消毒箱,/items/DEAI0HA900B8CTJ/000001_1623726999.jpg,/items/DEAI0HA900B8CTJ/000002_1658486264.jpg,4100,2990,,
31,DEDL0A-A900B6AD6-000,Combi Pro 360高效消毒烘乾鍋+奶瓶保管箱 (多色可選),0,Combi Pro 360高效消毒烘乾鍋+奶瓶保管箱,/items/DEDL0AA900B6AD6/000001_1666601900.jpg,/items/DEDL0AA900B6AD6/000002_1666601900.jpg,5400,3690,,
32,DEAIX7-A9008NYVE-000,<font color=FF0000><b>★殺菌率99.99%~365天24小時全天候呵護~智慧型微電腦記憶操控★</b></font><BR>友情紫外線奶瓶殺菌烘乾機(適用：嬰幼兒餐具、個人器皿) PF-366,0,友情紫外線奶瓶殺菌烘乾機PF-366(殺菌率99.99%),/items/DEAIX7A9008NYVE/000001_1621584236.jpg,/items/DEAIX7A9008NYVE/000002_1621584236.jpg,4780,3480,,
33,DEAIVL-A900AZSXT-000,<font color=#FF00CC><b>▲限時下單送好禮▼</font></b><BR>Combi GEN3消毒溫食多用鍋 - 金緻白,0,Combi GEN3消毒溫食多用鍋 - 金緻白,/items/DEAIVLA900AZSXT/000001_1615645368.jpg,/items/DEAIVLA900AZSXT/000002_1615645368.jpg,6000,4480,,
34,DEDL0A-A900B5JAX-000,【Combi】Pro 360奶瓶保管箱_寧靜灰,0,Combi Pro 360奶瓶保管箱_寧靜灰,/items/DEDL0AA900B5JAX/000001_1613794251.jpg,/items/DEDL0AA900B5JAX/000002_1613794251.jpg,1700,1200,,
35,DEDL0A-A900B6A7X-000,<font color=#FF00CC><b>《指定卡最高10%P幣回饋》</b></font><br>【Combi】GEN3消毒溫食多用鍋+保管箱組(四色可選),0,Combi GEN3消毒溫食多用鍋+保管箱組,/items/DEDL0AA900B6A7X/000001_1667440230.jpg,/items/DEDL0AA900B6A7X/000002_1667440230.jpg,8200,5600,,
