,Id,Name,Sort,Nodes
0,DAAO07C,▼年終囤貨季▼,1,"[{'Id': 'DAAOAJ', 'Name': '★新手媽咪首購送', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO9Y', 'Name': '★每日瘋殺', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAOA7', 'Name': '日本大王&#9658;境內版1299', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO0016', 'Name': '滿意寶寶&#9658;2箱折150', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO0C18', 'Name': '好奇&#9658;滿額贈雙好禮', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO1R08', 'Name': '麗貝樂&#9658;滿額送滑步車', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO70', 'Name': '★熱銷TOP↘狂殺特賣', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO8N', 'Name': '★可愛童趣尿布大集合！', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO6N', 'Name': '★小月齡Baby適用！', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO6P', 'Name': '★夏日玩水褲 ★', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
1,DAAO28C,幫寶適Pampers,2,"[{'Id': 'DAAO09', 'Name': '●幫寶適全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAOA5', 'Name': '├new!夏日巧虎褲(日製)', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO7H', 'Name': '├幫寶適一級幫(黏貼)', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO7I', 'Name': '├幫寶適一級幫(褲型)', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO9B', 'Name': '├清新幫 (新上市)', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO8S', 'Name': '├巧虎安睡褲', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO7W', 'Name': '├超薄乾爽 黏貼', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO0B', 'Name': '├超薄乾爽 拉拉褲', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO5Q', 'Name': '├拉拉褲', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
2,DAAO29C,滿意寶寶,3,"[{'Id': 'DAAO00', 'Name': '●滿意寶寶全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO3W', 'Name': '├極上呵護黏貼 (日製)  ', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO95', 'Name': '├極上呵護 輕巧褲(日製) ', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO01', 'Name': '├瞬潔乾爽黏貼', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO03', 'Name': '├瞬潔乾爽輕巧褲(日製)', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO9E', 'Name': '├吸汗抑菌褲(日製)', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO02', 'Name': ' ├活潑寶寶', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO8J', 'Name': ' ├晚安褲', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
3,DAAO30C,好奇Huggies,4,"[{'Id': 'DAAO0C', 'Name': '●好奇全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO7R', 'Name': '├好奇限量聯名款', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO04', 'Name': '├好奇x佩佩豬裸感(黏貼)', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO06', 'Name': '├好奇xLine裸感(褲型)', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAOA1', 'Name': '├好奇雲柔乾爽(黏貼) ', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO80', 'Name': '├好奇雲柔乾爽(褲型)', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
4,DAAO32C,妙而舒,5,"[{'Id': 'DAAO0E', 'Name': '●妙而舒全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO3B', 'Name': '├妙而舒瞬吸舒爽', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO38', 'Name': '├妙兒舒金緻柔點(日製)', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO1J', 'Name': '├妙而舒妙兒褲(日製)', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO7M', 'Name': '├妙而舒頂柔舒護(日製)', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
5,DAAO35C,麗貝樂Libero,6,"[{'Id': 'DAAO1R', 'Name': '●麗貝樂Libero全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAOAF', 'Name': '├麗貝樂友誼萬歲限定版', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO8U', 'Name': '├麗貝樂頂級Touch', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO6X', 'Name': '├麗貝樂黏貼式  ', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO6Y', 'Name': '├麗貝樂敢動褲', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
6,DAAO33C,日本大王GOON,7,"[{'Id': 'DAAO0F', 'Name': '●大王GOON全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO2V', 'Name': '├大王GOON敏感肌', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO9V', 'Name': '├大王GOON肌快適', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO7S', 'Name': '├大王GOON奢華肌', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO1Z', 'Name': '├大王GOON輕薄舒爽', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO6R', 'Name': '├大王GOON(褲型)', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
7,DAAO34C,日本王子Genki,8,"[{'Id': 'DAAO54', 'Name': '●日本王子Genki全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO1Q', 'Name': '├王子Genki超柔軟(黏貼)', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO3P', 'Name': '├王子Genki超柔軟(褲型)', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO8Y', 'Name': '├王子Genki麵包超人拉拉褲', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO88', 'Name': '├王子Whito(褲型)', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO9X', 'Name': '├王子Whito(黏貼)', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
8,DAAO31C,日本頂級moony,9,"[{'Id': 'DAAO2O', 'Name': '●日本moony全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO7Z', 'Name': '├moony 黏貼', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO3T', 'Name': '├moony 褲型', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO7U', 'Name': '├Natural Moony', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
9,DAAO36C,韓國 寶舒美 ,10,"[{'Id': 'DAAO55', 'Name': '●寶舒美全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO7C', 'Name': '├寶舒美(黏貼)', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAO7D', 'Name': '├寶舒美(褲型)', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
