,Id,Name,Sort,Nodes
0,DAAT24C,▲年終囤貨季▲,1,"[{'Id': 'DAAT0F00', 'Name': '外出必備&#9658;隨手抗菌濕巾', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT39', 'Name': '電影系列&#9658;純水溼巾', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT0S01', 'Name': '好奇&#9658;滿額折60', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT0T00', 'Name': '柴語錄獨家&#9658;拭拭樂', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT1S00', 'Name': '88折&#9658;motherK濕巾', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT1T00', 'Name': '滿額折百&#9658;日本大王', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT2800', 'Name': '7折up&#9658;立得清', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT2K00', 'Name': '8折&#9658;韓國OLDAM濕巾', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT0S00', 'Name': '最高9%&#9658;好奇濕巾', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT1000', 'Name': '最高11%&#9658;舒潔濕巾', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT1W00', 'Name': '最高9%&#9658;奈森克林', 'Sort': 11, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
1,DAAT01C,本月主打推薦 ,2,"[{'Id': 'DAAT31', 'Name': '&#9658;每日強檔‧瘋殺特賣', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
2,DAAT12C,好奇嬰兒濕紙巾,3,"[{'Id': 'DAAT0S', 'Name': '●好奇濕巾全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT2N', 'Name': '├好奇厚型濕巾', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT2M', 'Name': '├好奇一般型濕巾', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
3,DAAT14C,滿意寶寶濕紙巾,4,"[{'Id': 'DAAT0R', 'Name': '●滿意寶寶濕巾全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT2P', 'Name': '├滿意寶寶厚型濕巾', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT2O', 'Name': '├滿意寶寶一般型濕巾', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
4,DAAT15C,拭拭樂濕紙巾,5,"[{'Id': 'DAAT0T', 'Name': '●拭拭樂濕巾全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT2Q', 'Name': '├拭拭樂一般型濕巾', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT2R', 'Name': '├拭拭樂厚型濕巾', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT2V', 'Name': '├拭拭樂抗菌濕巾', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT2S', 'Name': '├拭拭樂乾濕兩用巾', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT2U', 'Name': '├拭拭樂外出隨身包', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
5,DAAT18C,立得清濕紙巾,6,"[{'Id': 'DAAT28', 'Name': '●立得清濕巾全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
6,DAAT16C,康乃馨濕紙巾,7,"[{'Id': 'DAAT0U', 'Name': '●康乃馨濕巾全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
7,DAAT13C,舒潔濕紙巾,8,"[{'Id': 'DAAT10', 'Name': '●舒潔濕巾全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
8,DAAT22C,團購人氣濕紙巾,9,"[{'Id': 'DAAT2A', 'Name': '●韓國enblanc', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT1S', 'Name': '●K-MOM嬰兒濕巾', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DAAT2K', 'Name': '●韓國OLDAM', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
9,DAAT20C,嬌生嬰兒濕紙巾,10,"[{'Id': 'DAAT0Z', 'Name': '●嬌生嬰兒濕巾全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
