,Id,Name,Sort,Nodes
0,DEAU29C,▼期間限定▼ ,1,"[{'Id': 'DEAU8Q', 'Name': '外出推薦★最高10%回饋', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU9A', 'Name': '&#9658;精選雨具限時優惠中', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU57', 'Name': '&#9658;嚴選推車41折up', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU9V', 'Name': '&#9658;話題揹巾890up', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
1,DEAU20C,兒童安全汽座,2,"[{'Id': 'DEAU9Y', 'Name': '◤BeSafe汽座', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU7M', 'Name': '◤chicco汽座', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU2R', 'Name': '◤Joie奇哥汽座', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU7H', 'Name': '◤Kiddy 奇帝汽座', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU31', 'Name': ' ◤NUNA汽座', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU2W', 'Name': '◤Nania納尼亞汽座', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU2T', 'Name': '◤YoDa汽座', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU2X', 'Name': '◤更多品牌汽座', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU76', 'Name': '【功能】新生兒汽座', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU77', 'Name': '【功能】成長型汽座', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU2Z', 'Name': '【功能】4歲以下汽座', 'Sort': 11, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU30', 'Name': '【功能】4歲以上汽座', 'Sort': 12, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU8N', 'Name': '【功能】Isofix安全汽座', 'Sort': 13, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU2O', 'Name': '【配件】全系列商品', 'Sort': 14, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU32', 'Name': '【配件】增高墊/坐墊', 'Sort': 15, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU6V', 'Name': '【配件】安全帶護套', 'Sort': 16, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
2,DEAU22C,嬰幼兒推車,3,"[{'Id': 'DEAU5X', 'Name': '◤Babybabe 手推車\t', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU5Y', 'Name': '◤chicco手推車\t', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU5Z', 'Name': '◤EMC手推車\t', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUCT', 'Name': '◤Greentom Classic', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU3H', 'Name': '◤Joie奇哥手推車', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU7K', 'Name': '◤Mamas & Papas', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUCU', 'Name': ' ◤NUNA手推車', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU6W', 'Name': '◤TFK手推車', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU62', 'Name': '◤UPPAbaby手推車\t', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUA5', 'Name': ' ◤美國Zooper推車', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU3L', 'Name': '◤更多品牌 手推車', 'Sort': 11, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU60', 'Name': '【功能】輕量手推車\t', 'Sort': 12, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU3M', 'Name': '【功能】單向手推車', 'Sort': 13, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU3N', 'Name': '【功能】雙向手推車', 'Sort': 14, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU5C', 'Name': '【功能】雙人手推車', 'Sort': 15, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU3P', 'Name': '【功能】購物型推車', 'Sort': 16, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
3,DEAU32C,手推車配件,4,"[{'Id': 'DEAU3Q', 'Name': '》遮陽罩', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU64', 'Name': '》雨罩/蚊帳', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU88', 'Name': ' 》頸枕/蝴蝶枕', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU3S', 'Name': '》置物袋/收納籃', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU7Z', 'Name': ' 》推車手把保護套', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU6E', 'Name': '》傘架/掛鉤/杯架/支架', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU3T', 'Name': '》其他手推車配件', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU7N', 'Name': '- 荷蘭DOOKY', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU7G', 'Name': '- 韓國Manito', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
4,DEAU21C,寶寶揹巾揹帶,5,"[{'Id': 'DEAU4R', 'Name': '■韓國Pognae 揹巾', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU4D', 'Name': '■瑞典 BabyBjorn', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU8P', 'Name': '■韓國Bebefit揹巾 ', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUAA', 'Name': '■加拿大Chimparoo揹巾', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU4Q', 'Name': '■美國Ergobaby揹巾', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU4S', 'Name': '■加拿大inParents揹巾', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUA8', 'Name': '■法國 JPMBB 揹巾', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUA9', 'Name': ' ■英國R&R叛逆女神揹巾', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU34', 'Name': '■瑞典Najell揹帶', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU36', 'Name': '■Yoda全系列揹帶', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU37', 'Name': '■更多品牌揹巾', 'Sort': 11, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU33', 'Name': '【配件】口水巾/口水墊', 'Sort': 12, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
5,DEAU27C,外出寶寶配件,6,"[{'Id': 'DEAU9O', 'Name': '■學步車/滑步車', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU5D', 'Name': '├瑞士Micro滑步車', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU96', 'Name': '└瑞士Micro配件', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUAK', 'Name': '■Benbat外出用品', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU3V', 'Name': '■Travelmall 外出用品', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU47', 'Name': '■兒童水壺', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIC502', 'Name': ' ■兒童餐椅', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU3R', 'Name': ' ■透氣墊/涼墊 ', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU7S', 'Name': '■外出保暖蓋毯', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU6Z', 'Name': '■兒童太陽眼鏡', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU9L', 'Name': '├SHADEZ太陽眼鏡', 'Sort': 11, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU56', 'Name': '├KIETLA太陽眼鏡', 'Sort': 12, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU4J', 'Name': '├RKS太陽眼鏡', 'Sort': 13, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU3F', 'Name': '  ├Babiators太陽眼鏡', 'Sort': 14, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU4C', 'Name': '■兒童遮陽帽/沙灘巾/游泳浴巾', 'Sort': 15, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
6,DEAU39C,∥品牌總覽∥,7,"[{'Id': 'DEAU72', 'Name': '■義大利chicco', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU7P', 'Name': '■日本Combi', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUCV', 'Name': ' ■台灣奇哥', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU99', 'Name': '■台灣Ding Baby', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUAO', 'Name': '■Joie', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUAQ', 'Name': ' ■德國Lassig', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUAP', 'Name': '■英國Nipper', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUCZ', 'Name': ' ■荷蘭NUNA  ', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUCX', 'Name': '■台灣PUKU', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUCQ', 'Name': ' ■德國RECARO', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUAE', 'Name': ' ■台灣YoDa', 'Sort': 11, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
7,DEAU33C,★日本Combi,8,"[{'Id': 'DEAUD3', 'Name': '汽車安全座椅全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUD5', 'Name': '》成長型汽車安全座椅', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUD4', 'Name': '》初生型汽車安全座椅', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUD0', 'Name': '嬰兒手推車全系列', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUD1', 'Name': '》雙向多功能型手推車', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUD2', 'Name': '》單向便捷型手推車', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUD7', 'Name': '》手推車配件', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUD8', 'Name': '》汽座配件', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUD6', 'Name': '嬰兒背巾', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
8,DEAU30C,兒童雨具雨衣,9,"[{'Id': 'DEAU5E', 'Name': 'hugmii兒童雨具  ', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUA7', 'Name': '韓Lemonkids雨具', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU8U', 'Name': '美國Oaki雨具', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUAB', 'Name': '日本WPC/KIU 雨具', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU5G', 'Name': '■ 兒童雨傘', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU5H', 'Name': '■ 兒童雨衣', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU5I', 'Name': '■ 兒童雨鞋', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
9,DEAU37C,防蚊／除臭／除菌,10,"[{'Id': 'DEAUA1', 'Name': ' ■除臭除菌全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU6H', 'Name': ' ■防蚊全系列', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU6I', 'Name': ' ■防蚊液/乳霜', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU6J', 'Name': ' ■防蚊貼', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU67', 'Name': ' ■驅蚊器/防蚊手環', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU6N', 'Name': '├小不叮草本驅蚊', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU2L', 'Name': '├小鹿山丘', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU6K', 'Name': ' ├Skin Technology', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAU81', 'Name': '├ ECHAIN TECH', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAUA0', 'Name': '├Jie Fen潔芬', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
