,Id,Name,Sort,Nodes
0,DECH16C,&#9200;期間優惠活動&#9200;,1,"[{'Id': 'DECHDW', 'Name': '&#128226;~2/28麗嬰房寢具85折起', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH70', 'Name': '&#9654;兒童童鞋54折起', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH6Y', 'Name': '送禮★就愛迪士尼', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH5D', 'Name': '必囤貨★暢銷天后', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH6G', 'Name': '媽咪秘笈★育嬰神器', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH6K', 'Name': '★寶貝質感生活王★', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
1,DECH07C,&#128270;HOT 哈燒話題,2,"[{'Id': 'DECH63', 'Name': '&#128270;外出防護不可少', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH76', 'Name': '&#128270;出遊好好睡', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH73', 'Name': '&#128270;出遊好好吃', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH77', 'Name': '&#128270;出遊安心食', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH5O', 'Name': '&#9658;送禮專區399元up', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH4P', 'Name': ' &#9658;育兒好物下殺出清價', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH3T', 'Name': '&#9658;親子料理小物推薦', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
2,DECH45C,▌傢俱。寢具 ▌,3,"[{'Id': 'DEAIIO00', 'Name': '  ■安撫搖椅/安撫床', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHC5', 'Name': '■嬰兒床/床邊床', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHC7', 'Name': '■涼蓆涼墊', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHC8', 'Name': '■床包 / 枕頭套', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHC9', 'Name': '■兩用被/床組', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCA', 'Name': '■嬰兒枕 /兒童枕', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCB', 'Name': '■兒童睡袋', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCC', 'Name': '■遊戲床', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCD', 'Name': '■兒童遊戲屋/帳篷', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHD1', 'Name': '■兒童餐椅', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCE', 'Name': '■防蚊帳 / 防蚊門簾', 'Sort': 11, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCF', 'Name': '■兒童衣架。掛鉤', 'Sort': 12, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCG', 'Name': '■置物袋。收納用品', 'Sort': 13, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCH', 'Name': '■成長紀錄/相框/壁貼', 'Sort': 14, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH5X', 'Name': '├Cheeky Chompers', 'Sort': 15, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
3,DECH44C,▌安全防護用品▌,4,"[{'Id': 'DECHBM', 'Name': '■安全遊戲墊全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBN', 'Name': '├巧拼式地墊', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBO', 'Name': '├一片式地墊', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBP', 'Name': '├多功能折疊地墊', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBQ', 'Name': '■遊戲圍欄', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBR', 'Name': '■床邊護欄', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBS', 'Name': '■安全門欄 / 柵欄', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBT', 'Name': '■防走失帶', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBU', 'Name': '■護頭學步安全帽', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBV', 'Name': '■護膝、護腕、護肘', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBW', 'Name': '■安全桌角', 'Sort': 11, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBX', 'Name': '■桌椅防撞安全護條', 'Sort': 12, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBY', 'Name': '■安全插座', 'Sort': 13, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHBZ', 'Name': '■安全門鎖、抽屜類', 'Sort': 14, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHC0', 'Name': '■防夾手器 / 門擋', 'Sort': 15, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHC1', 'Name': '■電風扇網罩', 'Sort': 16, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHC2', 'Name': '■其它安全防護用品', 'Sort': 17, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
4,DECH01C,▌哺育電器 ▌,5,"[{'Id': 'DECHCS', 'Name': '■智能哺育電器 ', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCO', 'Name': '■奶瓶電子消毒鍋', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHAV', 'Name': '├蒸氣式消毒', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHAW', 'Name': '├紫外線消毒', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHAX', 'Name': '■調乳器 /泡奶機', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCP', 'Name': '■溫奶器 /食物加熱機 ', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCR', 'Name': '■副食品調理棒/機', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHAY', 'Name': '■安全監控設備', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHAZ', 'Name': '■空氣清淨設備', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH6Q', 'Name': '■尿布處理器 ', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
5,DECH12C,▌哺乳用品 ▌  ,6,"[{'Id': 'DECHCY', 'Name': '■哺乳巾', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH45', 'Name': '■ 吸乳器全系列', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH46', 'Name': '├ 電動吸乳器', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH47', 'Name': '├ 手動吸乳器', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH5G', 'Name': ' ├紐西蘭Haakaa 吸乳器', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIUR00', 'Name': '├ AVENT吸乳器', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH48', 'Name': '■ 吸乳器配件', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH49', 'Name': '■ 母乳袋/母乳儲存瓶', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH4C', 'Name': '■ 防溢乳墊/清潔綿 ', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH4B', 'Name': '■ 側睡枕 / 授乳枕', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
6,DECH06C, ▌濕巾護理巾 ▌,7,"[{'Id': 'DECH0T', 'Name': '■嬰幼兒濕紙巾', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHB0', 'Name': '├箱購特價專區', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHB1', 'Name': '├隨身包(20抽↓)', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHB2', 'Name': '├大包裝(60抽↑)', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHAU', 'Name': '├貝恩Baan柔濕巾 ', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH2G', 'Name': '├nac nac濕紙巾', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH2F', 'Name': '├小獅王辛巴濕紙巾', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH3Q', 'Name': '├優生濕紙巾 ', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH0V', 'Name': '■乾濕兩用護理巾', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH0U', 'Name': '■濕紙巾蓋/ 加熱器', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
7,DECH00C,▌奶瓶 奶嘴 ▌,8,"[{'Id': 'DECHCQ', 'Name': '■奶瓶全系列', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIV201', 'Name': '├貝親奶瓶奶嘴 ', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH0A', 'Name': '■奶粉盒/袋', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH7B', 'Name': '├ hegen奶瓶', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI4O00', 'Name': '├義大利chicco奶瓶奶嘴', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI8M02', 'Name': '├nac nac 奶瓶奶嘴 ', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIUM00', 'Name': '├AVENT奶瓶/奶嘴', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI8400', 'Name': '├小獅王奶瓶奶嘴', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHAQ', 'Name': '├玻璃奶瓶', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH0L', 'Name': ' ├PPSU奶瓶', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH0G', 'Name': '├PP奶瓶', 'Sort': 11, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHAR', 'Name': '├矽膠奶瓶', 'Sort': 12, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH05', 'Name': '├韓國Hibee奶瓶', 'Sort': 13, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHB3', 'Name': '├多入超值組', 'Sort': 14, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH0D', 'Name': ' ■安撫奶嘴', 'Sort': 15, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIXU00', 'Name': '├丹麥BIBS奶嘴', 'Sort': 16, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAIQQ00', 'Name': ' ├德國NUK奶瓶', 'Sort': 17, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHCT', 'Name': '■奶嘴鍊/收納盒', 'Sort': 18, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
8,DECH03C,▌沐浴保養潔牙▌,9,"[{'Id': 'DECH4G', 'Name': '■嬰兒洗髮沐浴露(精)', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH18', 'Name': '■嬰童專用洗髮精', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH19', 'Name': '■嬰兒香皂、沐浴乳', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH1A', 'Name': '■洗浴油、泡泡露', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECHD8', 'Name': '├丹麥德瑪Derma', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH1C', 'Name': '■洗髮隔水浴帽', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH1D', 'Name': '■嬰兒浴盆 / 浴網', 'Sort': 7, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH4T', 'Name': ' ├英國Shnuggle月亮澡盆', 'Sort': 8, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH4H', 'Name': '├挪威Stokke 浴盆', 'Sort': 9, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH1E', 'Name': '■洗澡浴椅/洗髮椅 ', 'Sort': 10, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH1F', 'Name': '■浴室專用防滑用品', 'Sort': 11, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH1G', 'Name': '■沐浴海綿', 'Sort': 12, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH1H', 'Name': '■毛巾/洗澡巾', 'Sort': 13, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH1I', 'Name': '■大浴巾 / 浴袍', 'Sort': 14, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH1B', 'Name': ' ├L’Ange 棉之境 ', 'Sort': 15, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH2N', 'Name': '├英國JustGreen', 'Sort': 16, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH6A', 'Name': ' ├Nizio小蘑菇', 'Sort': 17, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH1J', 'Name': '■紗布巾／手帕', 'Sort': 18, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH1K', 'Name': '■水溫計', 'Sort': 19, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH1L', 'Name': '■洗澡玩具', 'Sort': 20, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH21', 'Name': '■水龍頭延伸輔助', 'Sort': 21, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH17', 'Name': '■幼兒學習便器/配件', 'Sort': 22, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH6D', 'Name': '├Potette Plus 攜帶馬桶', 'Sort': 23, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH11', 'Name': '■嬰幼兒/兒童牙刷', 'Sort': 24, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH13', 'Name': '├日本品牌兒童牙刷', 'Sort': 25, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH16', 'Name': '├英國brushbaby牙刷', 'Sort': 26, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH12', 'Name': '■嬰幼兒牙膏', 'Sort': 27, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
9,DECH02C,▌清潔用品用具▌,10,"[{'Id': 'DECH0I', 'Name': '■奶瓶(蔬果)清潔劑', 'Sort': 1, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH0Z', 'Name': '■清潔液／洗衣精', 'Sort': 2, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DEAI2U01', 'Name': '├nac nac 清潔用品', 'Sort': 3, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH3E', 'Name': '├毛寶兔家用清潔', 'Sort': 4, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH6F', 'Name': '■奶瓶/奶嘴刷/晾乾架', 'Sort': 5, 'is24h': 1, 'isVip': 0, 'isPick': 0}, {'Id': 'DECH4D', 'Name': '├矽膠奶瓶奶嘴刷', 'Sort': 6, 'is24h': 1, 'isVip': 0, 'isPick': 0}]"
